condition_code,condition_name,clinical_domain,is_qof,min_age,max_age
AF,Atrial Fibrillation,Cardiovascular,true,0,
ANX,Anxiety,Mental Health,false,0,
AST,Asthma,Respiratory,true,6,
AUTISM,Autism Spectrum Disorder,Neurodevelopmental,false,0,
CAN,Cancer,Oncology,true,0,
CEREBRALP,Cerebral Palsy,Neurology,false,0,
CHD,Coronary Heart Disease,Cardiovascular,true,0,
CKD,Chronic Kidney Disease,Renal,true,18,
COPD,Chronic Obstructive Pulmonary Disease,Respiratory,true,0,
CYP_AST,Children and Young People Asthma,Respiratory,false,0,17
DEM,Dementia,Mental Health,true,0,
DEP,Depression,Mental Health,true,18,
DM,Diabetes Mellitus,Metabolic,true,17,
EP,Epilepsy,Neurology,true,18,
FH,Familial Hypercholesterolaemia,Genetics,false,20,
FRAIL,Frailty,Geriatric,false,0,
GESTDIAB,Gestational Diabetes,Maternity,false,0,
HF,Heart Failure,Cardiovascular,true,0,
HTN,Hypertension,Cardiovascular,true,18,
LD,Learning Disability,Neurodevelopmental,true,0,
LD_U14,Learning Disability (Under 14),Neurodevelopmental,false,0,13
MND,Motor Neurone Disease,Neurology,false,0,
MS,Multiple Sclerosis,Neurology,false,0,
NAFLD,Non-Alcoholic Fatty Liver Disease,Hepatology,false,0,
NDH,Non-Diabetic Hyperglycaemia,Metabolic,true,18,
OA,Osteoarthritis,Musculoskeletal,false,0,
OB,Obesity,Metabolic,true,18,
OST,Osteoporosis,Musculoskeletal,true,50,
PAD,Peripheral Arterial Disease,Cardiovascular,true,0,
PC,Palliative Care,Palliative Care,true,0,
PD,Parkinsons Disease,Neurology,false,0,
RA,Rheumatoid Arthritis,Musculoskeletal,true,16,
SMI,Severe Mental Illness,Mental Health,true,0,
STIA,Stroke and TIA,Neurology,true,0,
THY,Hypothyroidism,Endocrine,false,0,
