DEFINITION_ID,DEFINITION_NAME,CONFIG_ID,CONFIG_VERSION,CONVERT_FROM_UNIT,CONVERT_TO_UNIT,MULTIPLY_BY,PRE_OFFSET,POST_OFFSET
,eosinophil_count,,,10*9/L,10*9/L,1,0,0
,eosinophil_count,,,10*6/mL,10*9/L,1,0,0
,eosinophil_count,,,10*3/uL,10*9/L,1,0,0
,eosinophil_count,,,K/uL,10*9/L,1,0,0
,eosinophil_count,,,10*3/mm^3,10*9/L,1,0,0
,eosinophil_count,,,G/L,10*9/L,1,0,0
,eosinophil_count,,,{cells}/uL,10*9/L,0.001,0,0
,eosinophil_count,,,{cells}/mL,10*9/L,0.000001,0,0
,eosinophil_count,,,{cells}/L,10*9/L,0.000000001,0,0
,eosinophil_count,,,%,,,,,
,eosinophil_percentage,,,%,%,1,0,0
,eosinophil_percentage,,,percent,%,1,0,0
,eosinophil_percentage,,,{WBCs},%,1,0,0
,eosinophil_percentage,,,10*9/L,,,,,
