practitioner_role_group,cost_per_hour_gbp,cost_per_minute_gbp,afc_band,is_proxy,proxy_source,pssru_table_ref,notes
GP,222.00,3.70,,false,,Table 9.4.2,Excl. direct care staff costs and qualification costs. Per hour of patient contact.
Other Doctor,222.00,3.70,,true,GP,Table 9.4.2,Proxied from GP rate — in OLIDS GP appointment data these codes (consultant / associate specialist / trainee / locum) almost always represent doctors working a GP session so GP rate is the fairest proxy.
Nurse,47.00,0.78,Band 5,false,,Table 9.3.1,GP practice nurse. Cost per working hour excl. qualifications.
Nursing Associate,39.00,0.65,Band 4,true,HCA,Table 8.2.1,Proxied from HCA rate — Nursing Associates (R9809 / R9816) are AfC Band 4 like HCAs and ARRS-eligible at that band.
Pharmacist,57.00,0.95,Band 6,false,,Table 8.2.1,PSSRU 2024 Table 8.1 places Pharmacist at Band 6 — direct Band 6 rate.
Pharmacy Technician,39.00,0.65,Band 4,true,HCA,Table 8.2.1,Proxied from HCA rate — PSSRU 2024 Table 8.1 explicitly places Pharmacy Technician at Band 4 (same band as HCA).
HCA,39.00,0.65,Band 4,false,,Table 8.2.1,Community-based scientific and professional staff Band 4. Cost per working hour 2023/24.
Physician Associate,68.00,1.13,Band 7,false,,Table 8.2.1,Band 7 rate (ARRS-standard band for PAs in GP settings). PSSRU Table 8.1 does not name PAs explicitly; Band 7 is the accepted AfC placement.
Paramedic,68.00,1.13,Band 7,true,Physician Associate,Table 8.2.1,Proxied from Physician Associate (Band 7) — PSSRU 2024 has no dedicated per-hour Paramedic unit cost. ARRS FCP paramedics in GP settings are typically Band 7 so the Band 7 rate is defensible.
Physiotherapist,57.00,0.95,Band 6,false,,Table 8.2.1,PSSRU 2024 Table 8.1 places Physiotherapist (specialist) at Band 6 — direct Band 6 rate used here as GP-setting FCP physios are typically Band 6-7.
Counsellor,57.00,0.95,Band 6,false,,Table 8.2.1,PSSRU 2024 Table 8.1 places Counsellor at Band 6 — direct Band 6 rate.
Care Navigator,39.00,0.65,Band 4,true,HCA,Table 8.2.1,Proxied from HCA rate — Care Navigators (R9801) are typically AfC Band 3-4 ARRS roles so HCA (Band 4) is an accurate upper bound.
Mental Health Practitioner,68.00,1.13,Band 7,true,Physician Associate,Table 8.2.1,Proxied from Physician Associate (Band 7) — ARRS MHPs (R9808) are typically Band 7 advanced practice roles.
Health & Wellbeing Coach,39.00,0.65,Band 4,true,HCA,Table 8.2.1,Proxied from HCA rate — ARRS H&WB Coaches (R9807) are typically AfC Band 4-5; HCA (Band 4) is a conservative lower bound.
Social Prescriber,39.00,0.65,Band 4,true,HCA,Table 8.2.1,Proxied from HCA rate — ARRS Social Prescribing Link Workers (R9815) are typically AfC Band 3-4 so HCA (Band 4) is an accurate upper bound.
Other Clinical,44.00,0.73,Band 5,false,,Table 8.2.1,Default to Band 5 rate for unclassified clinical roles. Cost per working hour 2023/24.
Other,,,,false,,,Non-clinical roles (social workers / chaplain / welfare officer etc.) — no applicable unit cost.
Unknown,,,,false,,,Role code not in the SDS lookup — cost cannot be determined.
Admin,,,,false,,,Admin roles are filtered out of int_appointment_gp_clean before costing; row present for completeness.
